Interface,Description,IP Address,IP Origin,Type,Enabled,Operational Status,Physical Address,MAC Address,Switchport Enabled,Switchport Mode,Access VLAN,Trunk VLAN,Native VLAN,VRF,Bandwidth,MTU,Delay,Encapsulation,Medium,Flow Control Receive,Flow Control Send,Last Change,Port Channel,Port Channel Member,Input Broadcast,Input CRC Errors,Input Errors,Input Unicast,Input Multicast,Input Total,Output Broadcast,Output Discards,Output Errors,Output Unicast,Output Multicast,Output Total,Input Rate,Output Rate
Port-channel6,No Description,N/A,N/A,GEChannel,True,up,001e.e69a.3dc5,001e.e69a.3dc5,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,mpls,N/A,N/A,N/A,N/A,Port-channel6,GigabitEthernet30,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
Loopback0,No Description,10.255.255.11/32,No Origin,Loopback,True,up,N/A,N/A,False,N/A,N/A,N/A,N/A,N/A,8000000,1514,5000,loopback,N/A,N/A,N/A,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet24,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0017,5006.0001.0017,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet23,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0016,5006.0001.0016,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet22,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0015,5006.0001.0015,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet21,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0014,5006.0001.0014,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet20,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0013,5006.0001.0013,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet19,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0012,5006.0001.0012,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet18,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0011,5006.0001.0011,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
GigabitEthernet17,No Description,N/A,N/A,CSR vNIC,False,down,5006.0001.0010,5006.0001.0010,False,N/A,N/A,N/A,N/A,N/A,1000000,1500,10,arpa,N/A,False,False,N/A,N/A,False,0,0,0,N/A,0,0,0,N/A,0,N/A,0,0,0,0
