Interface,IP Address,Status,Protocol,Method,Interface is OK
GigabitEthernet1,unassigned,administratively down,down,unset,YES
GigabitEthernet2,unassigned,administratively down,down,unset,YES
GigabitEthernet3,unassigned,administratively down,down,unset,YES
GigabitEthernet4,10.14.99.14,up,up,TFTP,YES
GigabitEthernet5,unassigned,up,up,unset,YES
GigabitEthernet6,unassigned,up,up,unset,YES
GigabitEthernet7,unassigned,up,up,unset,YES
GigabitEthernet8,unassigned,up,up,unset,YES
GigabitEthernet9,172.18.3.14,up,up,TFTP,YES
GigabitEthernet10,unassigned,up,up,unset,YES
GigabitEthernet11,10.14.15.14,up,up,TFTP,YES
GigabitEthernet12,unassigned,administratively down,down,unset,YES
GigabitEthernet13,unassigned,administratively down,down,unset,YES
GigabitEthernet14,unassigned,administratively down,down,unset,YES
GigabitEthernet15,unassigned,administratively down,down,unset,YES
GigabitEthernet16,unassigned,administratively down,down,unset,YES
GigabitEthernet17,unassigned,administratively down,down,unset,YES
GigabitEthernet18,unassigned,administratively down,down,unset,YES
GigabitEthernet19,unassigned,administratively down,down,unset,YES
GigabitEthernet20,unassigned,administratively down,down,unset,YES
GigabitEthernet21,unassigned,administratively down,down,unset,YES
GigabitEthernet22,unassigned,administratively down,down,unset,YES
GigabitEthernet23,unassigned,administratively down,down,unset,YES
GigabitEthernet24,unassigned,administratively down,down,unset,YES
Loopback0,10.255.255.14,up,up,TFTP,YES
Port-channel6,unassigned,up,up,unset,YES
