VRF,Address Family,Instance,Area,LSA Type,LSA,Age,Link Count,Check Sum,Sequence Number
default,ipv4,1,0.0.0.0,1,10.255.255.11,1081,2,0x00CDBB,0x80000011
default,ipv4,1,0.0.0.0,1,10.255.255.12,1091,3,0x0035E4,0x8000000B
default,ipv4,1,0.0.0.0,1,10.255.255.13,1025,2,0x00BCBC,0x8000000E
default,ipv4,1,0.0.0.0,1,10.255.255.14,395,2,0x00D43E,0x8000000E
default,ipv4,1,0.0.0.0,1,10.255.255.15,446,3,0x000ACC,0x8000000A
default,ipv4,1,0.0.0.0,1,10.255.255.16,911,1,0x003F48,0x8000000A
default,ipv4,1,0.0.0.0,1,10.255.255.99,442,6,0x001283,0x8000000D
default,ipv4,1,0.0.0.0,2,10.11.12.11,1335,,0x00C6FF,0x80000008
default,ipv4,1,0.0.0.0,2,10.11.99.11,1081,,0x00CC4B,0x80000008
default,ipv4,1,0.0.0.0,2,10.12.13.12,1332,,0x00B709,0x80000008
default,ipv4,1,0.0.0.0,2,10.12.99.12,1091,,0x00BA59,0x80000008
default,ipv4,1,0.0.0.0,2,10.13.99.13,1025,,0x00A867,0x80000008
default,ipv4,1,0.0.0.0,2,10.14.15.14,395,,0x00991B,0x80000008
default,ipv4,1,0.0.0.0,2,10.14.99.99,1207,,0x004120,0x80000008
default,ipv4,1,0.0.0.0,2,10.15.99.99,442,,0x003F20,0x80000008
default,ipv4,1,0.0.0.0,2,10.16.99.99,1207,,0x003D20,0x80000008
