
VRF,Address Family,Route,Active,Metric,Route Preference,Source Protocol,Source Protocol Code,Next Hop Number,Next Hop,Outgoing Interface,Updated
default,ipv4,10.11.12.0/24,True,2,110,ospf,O,1,10.12.13.12,GigabitEthernet11,04:02:27
default,ipv4,10.11.99.0/24,True,2,110,ospf,O,1,10.13.99.99,GigabitEthernet3,03:59:46
default,ipv4,10.12.99.0/24,True,2,110,ospf,O,1,10.13.99.99,GigabitEthernet3,03:59:42
default,ipv4,10.12.99.0/24,True,2,110,ospf,O,2,10.12.13.12,GigabitEthernet11,04:02:27
default,ipv4,10.14.15.0/24,True,3,110,ospf,O,1,10.13.99.99,GigabitEthernet3,03:55:52
default,ipv4,10.14.99.0/24,True,2,110,ospf,O,1,10.13.99.99,GigabitEthernet3,03:59:46
default,ipv4,10.15.16.0/24,True,3,110,ospf,O,1,10.13.99.99,GigabitEthernet3,03:51:42
default,ipv4,10.15.99.0/24,True,2,110,ospf,O,1,10.13.99.99,GigabitEthernet3,03:59:46
default,ipv4,10.16.99.0/24,True,2,110,ospf,O,1,10.13.99.99,GigabitEthernet3,03:59:46
default,ipv4,10.255.255.11/32,True,20,115,isis,i L2,1,10.13.99.99,GigabitEthernet3,1d00h
default,ipv4,10.255.255.11/32,True,20,115,isis,i L2,2,10.12.13.12,GigabitEthernet11,1d00h
default,ipv4,10.255.255.12/32,True,10,115,isis,i L2,1,10.12.13.12,GigabitEthernet11,1d00h
default,ipv4,10.255.255.14/32,True,20,115,isis,i L2,1,10.13.99.99,GigabitEthernet3,1d00h
default,ipv4,10.255.255.15/32,True,20,115,isis,i L2,1,10.13.99.99,GigabitEthernet3,1d00h
default,ipv4,10.255.255.16/32,True,20,115,isis,i L2,1,10.13.99.99,GigabitEthernet3,1d00h
default,ipv4,10.255.255.99/32,True,10,115,isis,i L2,1,10.13.99.99,GigabitEthernet3,1d00h
