Interface,IP Address,Status,Protocol,Method,Interface is OK
Bundle-Ether1,unassigned,,,,
Loopback0,10.255.255.99,,,,
MgmtEth0/0/CPU0/0,unassigned,,,,
GigabitEthernet0/0/0/0,unassigned,,,,
GigabitEthernet0/0/0/1,10.11.99.99,,,,
GigabitEthernet0/0/0/2,10.12.99.99,,,,
GigabitEthernet0/0/0/3,10.13.99.99,,,,
GigabitEthernet0/0/0/4,10.14.99.99,,,,
GigabitEthernet0/0/0/5,10.15.99.99,,,,
GigabitEthernet0/0/0/6,10.16.99.99,,,,
GigabitEthernet0/0/0/7,unassigned,,,,
GigabitEthernet0/0/0/8,unassigned,,,,
GigabitEthernet0/0/0/9,unassigned,,,,
GigabitEthernet0/0/0/10,unassigned,,,,
GigabitEthernet0/0/0/11,unassigned,,,,
GigabitEthernet0/0/0/12,unassigned,,,,
GigabitEthernet0/0/0/13,unassigned,,,,
GigabitEthernet0/0/0/14,unassigned,,,,
GigabitEthernet0/0/0/15,unassigned,,,,
GigabitEthernet0/0/0/16,unassigned,,,,
GigabitEthernet0/0/0/17,unassigned,,,,
GigabitEthernet0/0/0/18,unassigned,,,,
GigabitEthernet0/0/0/19,unassigned,,,,
GigabitEthernet0/0/0/20,unassigned,,,,
GigabitEthernet0/0/0/21,unassigned,,,,
GigabitEthernet0/0/0/22,unassigned,,,,
